album.id,album.title,album.company
300848,Fear Itself,GoConnect
300822,Dimensions,SoBe Entertainment
514953,Las Numero 1 De La Sonora Santanera,The Visual Dimensions Music
287650,Friend Or Foe,Movic
611336,Muertos Vivos,BTM Music Group Inc.
41838,Ordinary Day,EMI Music Japan
25824,Da Ghetto Psychic,Magnatune
8876,Gin & Phonic,Halaqah Media
358182,Pink World,J Storm
692313,Superinstrumental,GMA Artist Center
539081,I Need You,Great Big Island
163874,The Way Home,Newbury Comics
575792,Placer & Castigo,Nuwax Records
815863,Arrivederci,PIAS UK Distribution
25811,Dancing On The Ceiling,Pony Canyon
135122,Outskirts,T-Series
149958,Cross Currents,Johnny&Associates
535188,Panjtan Ka Ghulam,Ultra Music
372309,Gold,Entertainment One
541101,Whatever Happened To Boredom?,Applied Media Technologies Corporation
605134,1942-1952 Jimmy Wakely,Nuwax Records
239740,All The Good Times,SoBe Entertainment
386995,Un cafe_ setanta matins,Istanbul Plak
223365,Miss Machine,Random Disc Records
652784,Sue Thompson - Her Very Best,Bang
45730,Live,Menart Records
672016,Strictly Confidential,The Visual Dimensions Music
160881,The Real Twang Thang,Suzy
59744,Willie Bobo's Finest Hour,Halaqah Media
373723,Shake A Hand,Aardvark Records
228326,Occasional Rain,Broccoli
463514,The Emperor Falls,Istanbul Plak
643400,Best of The Shangri-Las,Bang
663761,20 Of Her Best,Diagnosis… DON'T! reCoRdings
12882,Who Is Mike Jones?,EMI Music Japan
270281,Tibiri Tabara,Aquaplus
244586,Piouhgd + Widowermaker!,DSP Media
157648,Profities,Boosey&Hawkes
644631,Cracks,Corporation
730551,Pieces Of Time,Istanbul Plak
709879,The Palest Grey,Backstreet Records
706005,A Match & Some Gasoline,Sony Music Entertainmet (Japan) Inc.
42595,Jump Back - The Best Of The Rolling Stones_ '71-'93,Shure
782470,Lo Mejor con La Orq. Broadway,Nuwax Records
28723,Grown Man,Sony BMG
557761,A Bothered Mind,Ministry of Sound
417945,Greatest Hits,CJ E&M Music Performance Divison
575531,Bluesman,Diagnosis… DON'T! reCoRdings
234425,Etiquette,EMI Music Japan
505301,Ec8or,Extraphone
74655,Too Much Too Soon,Corporation
322532,Bossa Nova Stories,PIAS Entertainment Group
14592,Love_ Peace & Nappiness,Suzy
515081,Germicide,Johnny&Associates
765750,MafuA!,Room 10 Records
17220,The Road To Hell Part 2,T-Series
617077,Vanguard Visionaries,Aquaplus
278999,Be Yourself Tonight,CJ E&M Music Performance Divison
19601,Hometown 2001,Live Music Records
38599,Eat / Kiss: Music For The Films By Andy Warhol,Movic
619882,The Ultimate Most Relaxing New Age Piano in the Universe,Behringer
618615,Classic Gold: Best of All,EMI
681639,The Berzerker,Corporation
449471,Holy Roller Novocaine,MCA Inc.
321356,Jeux de dames_ vol. 1 (rA(c)alisation Ronald Rubinel),Def Jam Recordings
530141,I Will Love Again,Aardvark Records
104765,White Trash ......,Behringer
695158,Murskapunkkia,Nuwax Records
509770,CanciA3n Animal,Saban Capital Group
223779,The Man from Snowy River,Behringer
466577,One World One People,Hed Kandi
148547,Tales Of Wonder,Extraphone
423012,Waterbed Hev,Hed Kandi
7133,The Best Of Both Worlds,GMA Artist Center
358442,Total Workout Running 102 - 135 - 84bpm Ideal For Jogging_ Running_ Treadmill & General Fitness,JYP Entertainment
15567,Things Falling Apart,Kung Fu Records
413222,Your Funeral... My Trial (2009 Digital Remaster),AMCR
80578,Oasis of Love,Sony Music Entertainmet (Japan) Inc.
26902,60's Triple set,Instant Live
633532,Yeah.  Well_ Anyway....,Thorn EMI
