artist.id,artist.name
ARD7TVE1187B99BFB1,Casual
ARMJAGH1187FB546F3,The Box Tops
ARKRRTF1187B9984DA,Sonora Santanera
AR7G5I41187FB4CE6C,Adam Ant
ARXR32B1187FB57099,Gob
ARKFYS91187B98E58F,Jeff And Sheri Easter
ARD0S291187B9B7BF5,Rated R
AR10USD1187B99F3F1,Tweeterfriendly Music
AR8ZCNI1187B9A069B,Planet P Project
ARNTLGG11E2835DDB9,Clp
ARGSJW91187B9B1D6B,JennyAnyKind
ARC43071187B990240,Wayne Watson
ARL7K851187B99ACD2,Andy Andy
ARHHO3O1187B989413,Bob Azzam
ARIK43K1187B9AE54C,Lionel Richie
ARD842G1187B997376,Blue Rodeo
ARIG6O41187B988BDD,Richard Souther
AR1ZHYZ1187FB3C717,Faiz Ali Faiz
ARYKCQI1187FB3B18F,Tesla
ARNPAGP1241B9C7FD4,lextrical
ARQGYP71187FB44566,Jimmy Wakely
ARI3BMM1187FB4255E,Alice Stuart
AR5KOSW1187FB35FF4,Elena
ARMAC4T1187FB3FA4C,The Dillinger Escape Plan
AR47JEX1187B995D81,SUE THOMPSON
ARGIWFO1187B9B55B7,Five Bolt Main
ARDNS031187B9924F0,Tim Wilson
AROUOZZ1187B9ABE51,Willie Bobo
ARH4Z031187B9A71F2,Faye Adams
ARB29H41187B98F0EF,Terry Callier
AR1Y2PT1187FB5B9CE,John Wesley
ARAJPHH1187FB5566A,The Shangri-Las
AR0RCMP1187FB3F427,Billie Jo Spears
AREBBGV1187FB523D2,Mike Jones (Featuring CJ_ Mello & Lil' Bran)
ARGUVEV1187B98BA17,Sierra Maestra
ARPQ4Z01187FB3A736,Butthole Surfers
ARNQAVF11F4C844C04,Despina Vandi
ARXUT4W1187FB48BEB,Javier Navarrete
ARDD1RC1187B9B52B4,Jacob Young
ARLGWFM1187FB4AC9F,Scarlet's Remains
ARWYVP51187B98C516,The Suicide Machines
ARFCUN31187B9AD578,The Rolling Stones
AR6YDKV1187B989230,Roberto Torres
ARV1JVD1187B9AD195,Loudon Wainwright III
AR7TTS41187B9B42D3,R.L. Burnside
ART3O5Z1187B9AB043,Stevie Ray Vaughan
AR5U94U1187FB5CDCF,John Hammond
ARRJNTE1187FB44E12,Casiotone For The Painfully Alone
AR6IRG41187B9A4D98,Ec8or
ARS1OWB1187B99EEAD,The New York Dolls
ARGMXQW1187FB54C34,Eliane Elias
AROEL1B1187B988B90,Lost Boyz
AR8W8DN1187FB35ED0,The Germs
ARUWLCL1187FB549B8,Yamandu Costa
AR3793X1187FB50CB3,Chris Rea
ARINEWW1187FB5577E,Perrey And Kingsley
ARDGB6U1187FB3AD07,Eurythmics
AR2J2WF1187FB46271,Francis Dunnery
ARUI8651187B9ACF52,John Cale
AR89DTT1187B9A7ED5,Suzanne Ciani
ARMD0G81187B99A519,Vickie Winans
AR0VZWC1187B99BA57,The Berzerker
ARF2EHS1187B994F4E,Kings Of Leon
ARZKRD01187FB45FD2,Edith Lefel
ARK4H5K1187B992F74,Taras
AR06EB01187FB40150,NOFX
ARKPDBH1242077DEB1,Murskahumppa
ARBJSO81187B9BA09B,Soda Stereo
ARRC2JF1187B9B6A93,Bruce Rowland
ARNIFX51187FB418EA,Xcultures
ARCCRTI11F4C845308,White Heart
ARNVH8S1187FB52F86,Heavy D / McGruff
ARNLO5S1187B9B80CC,Van Halen
ARTDQRC1187FB4EFD4,Black Eyed Peas
ARK9TRQ1187B99C095,Nine Inch Nails
ARODBRG1187FB3FD99,Nick Cave & The Bad Seeds
ARMBYRO1187FB57419,Nadine Renee
ARWY7I71187FB36C3D,Lesley Gore
AR6Y22S1187B99906F,Smartbomb
ARI5P4N1187FB3F44D,Suburbs
ARYPWUK1187B98ACED,Emperor
ARW63KF1187B98AC48,Julien Clerc
AR8H87D1187FB3A841,Glen Campbell
ARLWR721187B9A03C9,T.G. Sheppard
ARF4V431187FB3AA41,Slim Whitman
ARBGWMW1187B9AEA3E,Savage Garden
AR6G4V01187B9AD086,Queens Of The Stone Age
ARVQ4QM1187B98AD95,Hank Penny & The Lincoln Penny Orchestra
AR9AM2N1187B9AD2F1,Inspiral Carpets
AR9XEVF1187B99D017,Borialis
ARCFOZ71187FB43A0D,The Dirty Skirts
ARHFEBO11F50C4825A,Flor Silvestre
AR107SB1187B9A79F9,BA(c)zu
ARXWAQQ1187B9AE954,Redman
ARL6XZC1187FB3936E,Solistiyhtye Suomi
ARSDSMG1187B98CB59,Eddie Cantor
AR3WMW01187B9921F7,Schizoid
AR3C3C01187B98E800,Kai Winding
ARDD9UN1187B98D3A7,Sonny Simmons
ARJGNV61187B98F3B5,Mira
ARSVI4L1187B996181,Citizen Kaned
ARVJ0JK1187B98C9C0,The Brooklyn Tabernacle Choir
AR4PCIG1187B98D07D,Ellen McIlwaine
AR1RHCO1187B9AF0BF,Vince Guaraldi / Bola Sete
AR1X2H01187B98CCF2,Maurice Chevalier
ARBQBZV1187B99D29E,Carl Cox Vs Yousef
AR9ODB41187FB459B2,Organized Konfusion
ARF3GX71187FB3EB66,Martina McBride
AR3PN3R1187FB4CEBD,Horace Andy
ARYWCFZ11E2835CFDD,Nazz
ARUT16P1187FB532A4,Tyrone Davis
AREOGMA1187B9908EF,Hot Tuna
AR4ABL21187FB3913A,Richard Burton
AR8YV1I1187FB45D2B,Rory Block
ARR9XGB1187B9912E6,Boyz II Men
ARBKUS51187B98A3AC,Howard Armstrong
ARTB5PP1187FB523B7,Donny Hathaway
ARXFQDY1187B9AAF1E,Miguel Gallardo
ARVEJ9M1187FB4DC44,Les Ogres De Barback
ARTHEAP122BCFCD0B2,DJ X-Change featuring DJ Joey A
ARQESNI1187FB511EE,Morel
ARCZ20M1187FB49687,Tony Joe White
ARDF8K01187FB37200,Wolfmother
AR11NP91187B9901B4,The Roches
ARBZAIL1187FB5B1C8,Bob Margolin
ARWXHRS1241B9C7A1E,Thomas Battenstein
ARV1P811187FB3CFC6,Jupiter Rising
ARIU0MA1187B98D36F,Dharma Bums
ARB4D891187B9954F7,Saafir
ARQOC971187B9910FA,The Verve Pipe
AR19SOA1187B98F6E6,Bob Neuwirth
ARTDBI61187FB48479,Marvin Sapp
ARSE6YI1187B9B9CD2,James Hunter
AR6C8EJ1187FB3F473,Nelson Ned
AROI96Z1187B9A5304,Mish Mash
ARIOSKN1257509BCE1,Cama
ARI0PUX1187FB3F215,Maxi Priest
ARYO9BU1187B9ADA88,Porcupine Tree
ARZ507V1187FB4425E,Ragheb Alama
AR6XPWV1187B9ADAEB,Foo Fighters
AR6PJ8R1187FB5AD70,Shakira Featuring Wyclef Jean
AR4CG3B1187FB5B861,The Avengers
AR7BMMV1187FB5B2D7,Robben Ford
AREYIHC1187B99CE0B,Brazilian Tropical Orchestra
AREEMIN11F4C848971,Gil Semedo
ARBGJLS11F4C83D4B9,Xmilk
ARVNDLR1187B99CA1B,Dolce; Oscar G.
AR5LZJD1187FB4C5E5,Britt Nicole
ARAEX7Y1187FB42D36,Toni Braxton Featuring Shaggy
ARK2G5U1187FB46B34,Perrey And Kingsley
ARTB56G11C8A41569D,Sven Tasnadi
AR0GGKI1187FB391D5,Eddie
ARZEWUR1187FB53DC8,Enthroned
ARTHKKA122BCFCBF58,Milan Band
ARJDMBO1187B9AD118,Johnny Osbourne
ARYJSY01187B9B7C65,Dolly Parton
AR77FBJ1187FB49D8D,Rance Allen Group
ARFVYJI1187B9B8E13,Pearl Jam
ARBM4TC1187FB5CE98,Natalie Cole
ARMQHX71187B9890D3,Mastodon
ARYXJ5A1187B9B9E56,Kiril Valeri
ARULHJM1187B997004,Word
AROTIMO1187FB532BF,DJ Quik
AR0X3JJ1187FB3A9A7,Hank Locklin
AR035N21187FB3938E,BT
ARA0H5U1187FB47949,2-4 Grooves feat. Reki D.
AR358YS1187FB44A29,The Jordanaires
ARANOZN1187B9B373E,Descendents
ARHONG11187FB3B120,L.A. Guns
ARRA2F91187B9B4061,Bare Jr.
ARSGZ3J1187FB3E610,Shelley Fabares
ARMQ32V1187B9999F3,Norrie Paramor
AR8EDG51187FB41A08,Gary Hobbs
AR1GYND1187B9A9CD3,Diesel Boy
AR1PCLK1187FB5BBFF,Angelo Badalamenti
ARF0W6Z1187B9AC325,Cradle Of Filth
ARWGIOC1187FB4CBEF,Jim Chappell
ARZHLNX1187FB4B8E7,Ladybug
ARC25S11187B993923,Bandido
ARKE8PP1187B997DD4,Brixx
ARGTUWC1187B9904A0,Susana Seivane
ARFS01P1187B9A395A,Leland Martin
ARGWIHH1187B9A79B0,Test Icicles
AR5MK521187B98E0B8,Heaven 17
ARU22AM1187B9961EA,React
AR93RTI1187B98ECFB,Mance Lipscomb
