song.id,song.year,song.title,song.expertrate,song.loudness,song.dancebility,artist.id
SOMZWCG12A8C13C480,1986,I Didn't Mean To,0.581793766,0.736,0.834,ARD7TVE1187B99BFB1
SOCIWDW12A8C13D406,2014,Soul Deep,0.630630038,0.169,1,ARMJAGH1187FB546F3
SOXVLOJ12AB0189215,1963,Amor De Cabaret,0.487356791,0.643,0.98,ARKRRTF1187B9984DA
SONHOTT12A8C13493C,1980,Something Girls,0.630382334,0.751,0.809,AR7G5I41187FB4CE6C
SOFSOCN12A8C143F5D,1984,Face the Ashes,0.651045661,0.092,0.883,ARXR32B1187FB57099
SOYMRWW12A6D4FAB14,1982,The Moon And I (Ordinary Day Album Version),0.535292736,0.635,0.438,ARKFYS91187B98E58F
SOMJBYD12A6D4F8557,2005,Keepin It Real (Skit),0.556495602,0,0.709,ARD0S291187B9B7BF5
SOHKNRJ12A6701D1F8,2007,Drop of Rain,0.801136447,0,0.234,AR10USD1187B99F3F1
SOIAZJW12AB01853F1,1972,Pink World,0.426667857,0.717,0.44,AR8ZCNI1187B9A069B
SOUDSGM12AC9618304,1986,Insatiable (Instrumental Version),0.550513698,0.053,1,ARNTLGG11E2835DDB9
SOQHXMF12AB0182363,1997,Young Boy Blues,0.360031167,0.354,0.873,ARGSJW91187B9B1D6B
SOKEJEJ12A8C13E0D0,1966,The Urgency (LP Version),0.545159296,0.07,1,ARC43071187B990240
SOMUYGI12AB0188633,1992,La Culpa,0.577508974,0.205,0.699,ARL7K851187B99ACD2
SORAMLE12AB017C8B0,1976,Auguri Cha Cha,0.085512047,0,1,ARHHO3O1187B989413
SOBONFF12A6D4F84D8,1960,Tonight Will Be Alright,0.776675856,0.524,1,ARIK43K1187B9AE54C
SOHUOAP12A8AE488E9,2013,Floating,0.636423645,1,0,ARD842G1187B997376
SOUQQEA12A8C134B1B,1951,High Tide,0.419943148,0.041,0.768,ARIG6O41187B988BDD
SOILPQQ12AB017E82A,1955,Sohna Nee Sohna Data,0.363280571,0.06,0,AR1ZHYZ1187FB3C717
SOXLBJT12A8C140925,2016,Caught In A Dream,0.707199764,0.725,1,ARYKCQI1187FB3B18F
SOZVMJI12AB01808AF,1971,Synthetic Dream,0.32031437,0.011,0.821,ARNPAGP1241B9C7FD4
SOWTBJW12AC468AC6E,1959,Broken-Down Merry-Go-Round,0.39413854,0.799,0,ARQGYP71187FB44566
SOBEBDG12A58A76D60,2011,Kassie Jones,0.489816269,0.809,0.899,ARI3BMM1187FB4255E
SOZCTXZ12AB0182364,1971,Setanta matins,0.677420465,0.596,0,AR5KOSW1187FB35FF4
SOBBUGU12A8C13E95D,1985,Setting Fire to Sleeping Giants,0.839962768,0.381,0.931,ARMAC4T1187FB3FA4C
SOBLGCN12AB0183212,1960,James (Hold The Ladder Steady),0.435415818,0.697,0.587,AR47JEX1187B995D81
SOPSWQW12A6D4F8781,1977,Made Like This (Live),0.6090637,0.53,0.857,ARGIWFO1187B9B55B7
SOZQDIU12A58A7BCF6,1966,Superconfidential,0.550513698,0.687,1,ARNTLGG11E2835DDB9
SONYPOM12A8C13B2D7,1969,I Think My Wife Is Running Around On Me (Taco Hell),0.459797129,0.762,0,ARDNS031187B9924F0
SOBZBAZ12A6D4F8742,1980,Spanish Grease,0.588827101,0.812,1,AROUOZZ1187B9ABE51
